name,team,position,fpoints_ppr,games,player_url,fpoints_ppr_per_game
Foster Moreau,NOR,TE,106.3,17,/players/M/MoreFo00.htm,6.252941176470588
Darius Slayton,NYG,WR,113.0,16,/players/S/SlayDa01.htm,7.0625
Mack Hollins,BUF,WR,101.8,17,/players/H/HollMa00.htm,5.988235294117647
Josh Palmer,LAC,WR,110.4,15,/players/P/PalmJo00.htm,7.36
Spencer Rattler,NOR,QB,81.3,7,/players/R/RattSp00.htm,11.614285714285714
Olamide Zaccheaus,WAS,WR,116.4,17,/players/Z/ZaccOl01.htm,6.847058823529412
Braelon Allen,NYJ,RB,91.2,17,/players/A/AlleBr05.htm,5.364705882352942
Marquez Valdes-Scantling,2TM,WR,87.5,14,/players/V/ValdMa00.htm,6.25
Devaughn Vele,DEN,WR,109.5,13,/players/V/VeleDe00.htm,8.423076923076923
Dalton Schultz,HOU,TE,121.2,17,/players/S/SchuDa00.htm,7.129411764705883
Parker Washington,JAX,WR,100.0,17,/players/W/WashPa01.htm,5.882352941176471
Austin Hooper,NWE,TE,112.6,17,/players/H/HoopAu00.htm,6.623529411764705
Ricky Pearsall,SFO,WR,96.5,11,/players/P/PearRi00.htm,8.772727272727273
Dallas Goedert,PHI,TE,106.6,10,/players/G/GoedDa00.htm,10.66
Chigoziem Okonkwo,TEN,TE,117.6,17,/players/O/OkonCh00.htm,6.917647058823529
Jalen Coker,CAR,WR,95.6,11,/players/C/CokeJa01.htm,8.69090909090909
Gus Edwards,LAC,RB,67.1,11,/players/E/EdwaGu00.htm,6.1
Tyler Huntley,MIA,QB,71.7,5,/players/H/HuntTy01.htm,14.34
Roschon Johnson,CHI,RB,83.4,14,/players/J/JohnRo07.htm,5.957142857142857
Will Dissly,LAC,TE,113.1,15,/players/D/DissWi00.htm,7.54
Elijah Moore,CLE,WR,123.9,17,/players/M/MoorEl00.htm,7.288235294117648
Rashid Shaheed,NOR,WR,83.8,6,/players/S/ShahRa00.htm,13.966666666666667
Sean Tucker,TAM,RB,74.7,17,/players/T/TuckSe00.htm,4.394117647058824
Andy Dalton,CAR,QB,68.0,6,/players/D/DaltAn00.htm,11.333333333333334
Zack Moss,CIN,RB,88.9,8,/players/M/MossZa00.htm,11.1125
Tim Patrick,DET,WR,95.4,16,/players/P/PatrTi00.htm,5.9625
Nick Chubb,CLE,RB,67.3,8,/players/C/ChubNi00.htm,8.4125
Tutu Atwell,LAR,WR,101.9,17,/players/A/AtweTu00.htm,5.9941176470588236
Dalton Kincaid,BUF,TE,103.8,13,/players/K/KincDa00.htm,7.984615384615385
Noah Fant,SEA,TE,107.0,14,/players/F/FantNo00.htm,7.642857142857143
Diontae Johnson,3TM,WR,92.1,12,/players/J/JohnDi01.htm,7.675
Jeremy McNichols,WAS,RB,66.8,17,/players/M/McNiJe00.htm,3.929411764705882
Greg Dortch,ARI,WR,94.3,17,/players/D/DortGr01.htm,5.547058823529412
David Moore,CAR,WR,88.1,17,/players/M/MoorDa03.htm,5.18235294117647
Samaje Perine,KAN,RB,84.4,17,/players/P/PeriSa00.htm,4.964705882352941
Miles Sanders,CAR,RB,83.3,11,/players/S/SandMi01.htm,7.572727272727272
Raheem Mostert,MIA,RB,78.9,13,/players/M/MostRa00.htm,6.06923076923077
Malik Willis,GNB,QB,58.8,7,/players/W/WillMa12.htm,8.4
Jordan Akins,CLE,TE,94.0,17,/players/A/AkinJo00.htm,5.529411764705882
Noah Brown,WAS,WR,89.3,11,/players/B/BrowNo00.htm,8.118181818181817
Brenton Strange,JAX,TE,95.1,17,/players/S/StraBr00.htm,5.594117647058823
Cedric Tillman,CLE,WR,84.4,11,/players/T/TillCe01.htm,7.672727272727273
AJ Barner,SEA,TE,81.5,17,/players/B/BarnAJ00.htm,4.794117647058823
Sterling Shepard,TAM,WR,83.3,14,/players/S/ShepSt00.htm,5.95
Kenneth Gainwell,PHI,RB,68.6,17,/players/G/GainKe00.htm,4.035294117647059
Ezekiel Elliott,DAL,RB,61.5,15,/players/E/ElliEz00.htm,4.1
T.J. Hockenson,MIN,TE,89.5,10,/players/H/HockTJ00.htm,8.95
Marcus Mariota,WAS,QB,48.8,3,/players/M/MariMa01.htm,16.266666666666666
Jacoby Brissett,NWE,QB,50.2,8,/players/B/BrisJa00.htm,6.275
Jake Ferguson,DAL,TE,109.4,14,/players/F/FergJa00.htm,7.814285714285715
Chris Olave,NOR,WR,80.7,8,/players/O/OlavCh00.htm,10.0875
Isiah Pacheco,KAN,RB,59.9,7,/players/P/PachIs00.htm,8.557142857142857
Brandin Cooks,DAL,WR,72.6,10,/players/C/CookBr00.htm,7.26
Audric Estime,DEN,RB,52.7,13,/players/E/EstiAu00.htm,4.053846153846154
Christian Kirk,JAX,WR,73.9,8,/players/K/KirkCh01.htm,9.2375
Josh Oliver,MIN,TE,68.8,15,/players/O/OlivJo00.htm,4.586666666666667
Michael Penix,ATL,QB,50.1,5,/players/P/PeniMi00.htm,10.02
Evan Engram,JAX,TE,93.5,9,/players/E/EngrEv00.htm,10.38888888888889
